n1.name,n2.name,r.statistic_score
FEN1,KIF14,0.3
FEN1,RAD51,0.3
FEN1,PARP1,0.8
FEN1,RECQL4,0.3
FEN1,NAE1,0.5
FEN1,RAD54B,0.75
CCDC171,HRAS,0.458
CCDC171,KRAS,0.6
CCDC171,NRAS,0.458
TCF3,KDM2B,0.3
TCF3,RBM14,0.3
FETUB,MRGPRD,0.3
FETUB,BRCA1,0.3
FETUB,OPRL1,0.3
FETUB,VPREB1,0.3
FETUB,NPHP4,0.3
FETUB,TP53,0.3
FETUB,NAE1,0.647
FETUB,OR51F2,0.3
FETUB,NEK9,0.3
FETUB,RPA2,0.3
TRIP13,USP4,0.3
TRIP13,MYC,0.4
PKD1,USP7,0.2
KLF5,MET,0.3
KLF5,FOS,0.3
KLF5,PLEK2,0.3
KLF5,EDN1,0.3
KLF5,DDR1,0.3
KLF5,PRR15,0.2
KLF5,NAE1,0.647
KLF5,PTK6,0.2
KLF5,PRRG2,0.3
KLF5,GPRC5A,0.3
MFSD2B,PLA2G2A,0.3
MFSD2B,PRPH2,0.3
EVX1,ATM,0.3
EVX1,FKBP5,0.3
THYN1,VPS26B,0.2
THYN1,PTEN,0.3
LIMK2,MYC,0.4
TRPS1,TP53,0.3
GPR18,AIF1,0.3
LGR6,SEC24D,0.3
EIF3E,RPS16,0.2
EIF3E,KRAS,0.44
EIF3E,NRAS,0.44
EIF3E,HRAS,0.44
MCTP1,MYC,0.539
DTX3L,NAE1,0.575
PTCHD4,THOC7,0.3
ACBD6,MUL1,0.3
CYP26A1,GPI,0.85
RAD54B,PARP1,0.2
B4GALT4,ADGRE5,0.3
B4GALT4,COPB2,0.2
B4GALT4,PLSCR3,0.3
PELO,POLD1,0.85
PELO,RPL36A,0.85
PELO,RAE1,0.85
PELO,TUBGCP4,0.85
PELO,RAD51,0.85
PELO,TIMELESS,0.85
PELO,VPS72,0.85
PELO,PPP2R2A,0.85
PELO,SMNDC1,0.85
PELO,PTCD3,0.85
PELO,RRM1,0.85
PELO,UMPS,0.85
PELO,POLE,0.85
PELO,RPLP1,0.85
PELO,PWP1,0.85
PELO,RPS18,0.85
PELO,SPAG7,0.85
PELO,PNISR,0.85
PELO,WDR77,0.85
PELO,RPTOR,0.85
PELO,SKA3,0.85
PELO,RPL11,0.85
PELO,SNIP1,0.85
PELO,PTTG1,0.85
PELO,TBCB,0.85
PELO,SKIV2L,0.85
PELO,PSMD6,0.85
PELO,TUBGCP3,0.85
PELO,WDR61,0.85
PELO,RPL5,0.85
PELO,PNN,0.85
PELO,RPF2,0.85
PELO,RBM17,0.85
PELO,PRIM2,0.85
PELO,SEC22B,0.85
PELO,RPL24,0.85
PELO,TUBGCP5,0.85
PELO,RPS5,0.85
PELO,POLE2,0.85
PELO,POLA1,0.85
PELO,POLR2K,0.85
PELO,PMF1,0.85
PELO,TRNAU1AP,0.85
PELO,RPL27,0.85
PELO,SNRPB,0.85
PELO,TTC4,0.85
PELO,ZNF511,0.85
PELO,RPL8,0.85
PELO,PSMC1,0.85
PELO,ZNF574,0.85
PELO,RPS28,0.85
PELO,RTF1,0.85
PELO,RNGTT,0.85
PELO,POLN,0.85
PELO,RPL3,0.85
CTPS1,MYC,0.4
SENP7,TBL1XR1,0.2
PRKD3,SLC28A1,0.551
PRKD3,TYMS,0.551
PRKD3,RRM1,0.551
PRKD3,SLC29A2,0.551
PRKD3,SLC29A1,0.551
CRP,GH2,0.2
CRP,PDX1,0.167
CRP,MYC,0.536
GRWD1,RBM14,0.3
GRWD1,HNRNPUL1,0.2
PXDC1,NRAS,0.473
PXDC1,KRAS,0.473
PXDC1,HRAS,0.473
ARF4,RPP14,0.2
ARF4,LMNA,0.3
ARF4,ATP6V1C1,0.3
ARF4,COPB2,0.3
ARF4,MCL1,0.3
ARF4,KRAS,0.44
ARF4,RHEB,0.3
ARF4,NRAS,0.44
ARF4,HRAS,0.44
L2HGDH,POLE2,0.2
UNC80,KRAS,0.449
UNC80,NRAS,0.449
CDC16,HRAS,0.464
CDC16,NRAS,0.464
CDC16,KRAS,0.6
C8orf48,OGFR,0.3
CASS4,NRAS,0.449
CASS4,HRAS,0.449
CASS4,KRAS,0.449
PRAM1,RAD52,0.1775
ILK,NR1I2,0.5
ILK,MAP4,0.5
ILK,MAP2,0.5
ILK,DLGAP4,0.3
ILK,PARVA,0.2
ILK,MAPT,0.5
ILK,NRAS,0.488
ILK,TUBB1,0.5
ILK,SLCO1B3,0.5
TGFB1I1,TNFRSF12A,0.2
PCDHA11,TRIB3,0.3
PCDHA11,SNRPB,0.3
CA12,KRAS,0.6
CA12,HRAS,0.458
CA12,NRAS,0.458
MYH8,PTEN,0.3
NDUFB4,POLN,0.85
NDUFB4,TUBGCP3,0.85
NDUFB4,OGFOD1,0.85
EIF4G2,KRAS,0.449
EIF4G2,NDUFA8,0.85
EIF4G2,CREB1,0.3
EIF4G2,NRAS,0.449
EIF4G2,TTC4,0.85
EIF4G2,HACD3,0.3
EIF4G2,MRPS23,0.85
EIF4G2,ZNF830,0.85
EIF4G2,PELO,0.85
EIF4G2,RPS5,0.85
EIF4G2,MRPL36,0.85
EIF4G2,HRAS,0.449
EIF4G2,PSMD12,0.85
POLA1,KRAS,0.6
POLA1,SSBP1,0.85
BAG1,MYC,0.4305
BAG1,NAE1,0.575
TMEM109,UCN,0.3
MTRF1L,BRIP1,0.4
MTRF1L,SS18L1,0.4
MTRF1L,PIK3C3,0.4
MTRF1L,NFKB2,0.4
MTRF1L,USP6,0.4
MTRF1L,MLH1,0.4
MTRF1L,TRIP11,0.4
MTRF1L,TSC1,0.4
MTRF1L,SDHB,0.4
MTRF1L,NFIB,0.4
MTRF1L,PPARA,0.4
MTRF1L,FH,0.4
MTRF1L,MSI2,0.4
MTRF1L,RPL22,0.4
MTRF1L,IL6ST,0.4
MTRF1L,PTCH1,0.4
MTRF1L,ARHGEF12,0.4
MTRF1L,MET,0.4
MTRF1L,WRN,0.4
BTG1,NAE1,0.575
ELMO2,NAE1,0.575
ZBTB7A,TAPBP,0.3
PPP1R15A,CEBPB,0.3
HSF2,WDCP,0.3
HSF2,SYNCRIP,0.2
LAMB3,KRAS,0.6
LAMB3,PLEC,0.2
BMPR2,SCRIB,0.3
GNG8,NAE1,0.647
CDCA3,NRAS,0.464
CDCA3,TMPO,0.2
CDCA3,KRAS,0.6
CDCA3,RAD51,0.3
CDCA3,HRAS,0.464
SLC39A13,GNG11,0.3
SLC39A13,THBS1,0.3
SLC39A13,ZBTB20,0.3
PRKD2,SLC28A1,0.467
PRKD2,SLC29A1,0.467
PRKD2,STRN4,0.2
PRKD2,RRM1,0.467
PRKD2,SLC29A2,0.467
PRKD2,TYMS,0.467
RALY,SHC4,0.3
GAS2L1,CDC42BPB,0.3
GAS2L1,TNFRSF1A,0.3
CD52,ADRB1,0.3
CD52,FCER2,0.3
MAP4,OC90,0.3
MAP4,MOK,0.5
MAP4,PDE3A,0.5
MAP4,XRCC6,0.5
MAP4,SMO,0.5
MAP4,PTPN3,0.5
MAP4,PEX1,0.5
MAP4,NRAS,0.452
MAP4,PTPRD,0.5
MAP4,SENP1,0.5
MAP4,PPP3CA,0.5
MAP4,RFC5,0.5
MAP4,RAD9A,0.5
MAP4,SOD2,0.5
MAP4,TP53,0.9
MAP4,PTPRF,0.5
MAP4,TAP2,0.5
GALNS,KAT6A,0.3
GALNS,HOOK3,0.3
SMAD5,TP53,0.3
TBCB,VPS72,0.85
TBCB,ZNF830,0.85
IPO13,LIMS1,0.3
MIB1,ZNF24,0.2
SLC29A2,UCK1,0.572
SLC29A2,STK33,0.467
SLC29A2,SPHK1,0.473
SLC29A2,TNNI3K,0.461
SLC29A2,SMAD4,0.5
SLC29A2,WNK4,0.554
SLC29A2,SNRK,0.479
SLC29A2,TYRO3,0.446
SLC29A2,TAOK3,0.551
SLC29A2,SLC30A2,0.5
SLC29A2,STK17A,0.482
SLC29A2,TNK1,0.5
SLC29A2,VRK3,0.467
SLC29A2,TK2,0.44
SLC29A2,STAT4,0.5
ADAMTSL4,EMC9,0.3
N4BP2L2,PDS5B,0.2
JMJD1C,SLC4A2,0.3
GNPDA2,MYC,0.557
NEK8,SLC16A1,0.3
HECTD3,MYC,0.4
HECTD3,MAP4,0.5
HECTD3,TUBB1,0.5
HECTD3,SLCO1B3,0.5
HECTD3,MAP2,0.5
HECTD3,MAPT,0.5
HECTD3,NR1I2,0.5
MAN1C1,TRIP13,0.3
ISCA1,SPTLC1,0.2
SOD2,TUBB1,0.5
AXIN1,CRTC1,0.1775
AXIN1,KCTD13,0.2
CD82,KRAS,0.6
CD82,NRAS,0.455
CD82,HRAS,0.455
DOLPP1,GTF3C5,0.2
KRTAP19-7,NAE1,0.575
C1QTNF6,SLC16A7,0.3
ZNF235,ZNF780B,0.2
ZNF235,ZNF566,0.2
PSMA3,VTI1B,0.2
FABP4,PTGIR,0.85
FABP4,PRKAR1A,0.85
FABP4,MST1R,0.85
FABP4,PIK3CG,0.85
FABP4,XPO1,0.85
FABP4,XIAP,0.85
FABP4,KRAS,0.443
FABP4,NRAS,0.443
FABP4,HRAS,0.443
FABP4,MAP2K7,0.85
FABP4,KCNA3,0.85
FABP4,SLC16A8,0.85
FABP4,HMGCR,0.85
FABP4,GALK1,0.85
FABP4,MAP3K5,0.85
FABP4,OXT,0.85
FABP4,NDUFA4,0.85
FABP4,MCL1,0.85
FABP4,SLC16A5,0.85
FABP4,TK1,0.85
FABP4,NTRK1,0.85
FABP4,PIK3C2B,0.85
CYTH3,THBS1,0.3
EIF3C,INTS5,0.85
EIF3C,HCCS,0.85
EIF3C,NDUFA9,0.85
EIF3C,TRNAU1AP,0.85
EIF3C,NUP85,0.85
EIF3C,PPAT,0.85
EIF3C,FH,0.85
EIF3C,EXOSC4,0.85
EIF3C,PRPF18,0.85
EIF3C,OGFOD1,0.85
EIF3C,XRN2,0.85
EIF3C,TUBGCP3,0.85
EIF3C,HUS1,0.85
EIF3C,IARS1,0.85
EIF3C,GTF2H4,0.85
EIF3C,GOLT1B,0.85
EIF3C,RPL36A,0.85
EIF3C,PMVK,0.85
EIF3C,RNGTT,0.85
EIF3C,TRMT5,0.85
EIF3C,SSB,0.85
EIF3C,PTTG1,0.85
EIF3C,NDUFB1,0.85
EIF3C,NAA50,0.85
EIF3C,GNPAT,0.85
EIF3C,MAPKAP1,0.85
EIF3C,RBBP8,0.85
EIF3C,WDR7,0.85
EIF3C,PPP2R1A,0.85
EIF3C,ZNRD1,0.85
EIF3C,SKA3,0.85
EIF3C,TRRAP,0.85
EIF3C,PNN,0.85
EIF3C,ZNHIT6,0.85
EIF3C,NACA,0.85
EIF3C,EXOSC9,0.85
EIF3C,MED23,0.85
EIF3C,TTC4,0.85
EIF3C,EXOSC6,0.85
EIF3C,ROMO1,0.85
EIF3C,SRSF7,0.85
EIF3C,NSMCE4A,0.85
EIF3C,FDPS,0.85
EIF3C,SPAG7,0.85
EIF3C,EIF3H,0.85
EIF3C,GTPBP4,0.85
EIF3C,PSMD1,0.85
EIF3C,EMC4,0.85
EIF3C,TCOF1,0.85
EIF3C,HRAS,0.482
EIF3C,EIF3D,0.85
EIF3C,GTF2E1,0.85
EIF3C,RPL13,0.85
EIF3C,MASTL,0.85
EIF3C,FARSA,0.85
EIF3C,NRAS,0.482
EIF3C,SNRPC,0.85
EIF3C,MRPS18B,0.85
EIF3C,FBXO28,0.85
EIF3C,POLD1,0.85
EIF3C,WDR70,0.85
ABCD2,NAE1,0.5
SLC52A2,NRIP1,0.3
KHDRBS1,KIF2C,0.2
KHDRBS1,DNMT1,0.3
KHDRBS1,RIMS3,0.2
CXCL13,SIGLEC8,0.3
CXCL13,DMP1,0.2
CTSZ,BRCA1,0.3
RBM6,SLC25A38,0.2
RAC1,SUN1,0.2
RAC1,TP53,0.3
RAC1,TMEM106B,0.2
RAC1,CTTN,0.3
RAC1,KRAS,0.6
RAC1,UBE2G2,0.3
ASH1L,KRAS,0.6
ASH1L,YY1AP1,0.2
DARS1,ZNF830,0.85
DARS1,POLR2K,0.85
DARS1,GTF3C3,0.85
DARS1,TUBGCP3,0.85
DARS1,EXOSC9,0.85
DARS1,EBNA1BP2,0.85
DARS1,GTF2H4,0.85
RAB11FIP5,RPP40,0.3
HOMER1,KRAS,0.6
HOMER1,HRAS,0.449
HOMER1,NRAS,0.449
ADCY7,MLF1,0.3
KHDRBS2,MYH7,0.2
BCCIP,CDKN1A,0.1775
BCCIP,SUMO1,0.1775
BCCIP,CRY2,0.1775
BCCIP,HERC5,0.1775
BCCIP,MCM5,0.1775
BCCIP,CCND1,0.1775
BCCIP,NAE1,0.5
BCCIP,UBA1,0.1775
BCCIP,GADD45A,0.1775
BCCIP,BCL2,0.1775
DSG2,KRT80,0.3
DSG2,KRT6B,0.3
LIN9,TSNAX,0.2
LCP2,PKD2L2,0.2
WASF3,KRAS,0.6
EIF3H,XPO1,0.85
EIF3H,MRPL36,0.85
EIF3H,EIF4G1,0.85
EIF3H,RPL5,0.85
EIF3H,GINS4,0.85
EIF3H,PPP2R2A,0.85
EIF3H,MICOS10,0.85
EIF3H,POLR2K,0.85
EIF3H,PTTG1,0.85
EIF3H,METTL17,0.85
EIF3H,MRPS10,0.85
EIF3H,SKIV2L,0.85
EIF3H,LUC7L3,0.85
EIF3H,SKA3,0.85
EIF3H,NUP54,0.85
EIF3H,UBR5,0.2
EIF3H,REXO2,0.85
EIF3H,TP53,0.3
EIF3H,SNRPG,0.85
EIF3H,RPL24,0.85
EIF3H,PSMD12,0.85
EIF3H,MRPS5,0.85
EIF3H,RBM17,0.85
EIF3H,TAF1,0.85
EIF3H,MRPL33,0.85
EIF3H,PMF1,0.85
EIF3H,POLR3A,0.85
EIF3H,RPS5,0.85
ARFGAP3,BRCA1,0.3
SMARCA4,CDK4,0.2
SMARCA4,TP53,0.3
SMARCA4,TOP1,0.85
SMARCA4,TNPO2,0.2
SMARCA4,SMARCB1,0.85
SMARCA4,CDK6,0.2
OR2L13,TM4SF1,0.3
CDK2,POLE,0.557
CDK2,DNTT,0.545
CDK2,USP1,0.539
CDK2,MYC,0.2
CDK2,WRAP53,0.557
CDK2,IGFBP3,0.551
CDK2,PIK3CB,0.2
CDK2,RAD51AP1,0.2
CDK2,NPR1,0.85
CDK2,ZBTB32,0.557
CDK2,NAE1,0.644
CDK2,RAD51,0.551
CDK2,PTPRZ1,0.85
CDK2,UNG,0.557
CDK2,POLD1,0.551
CDK2,GTF2H1,0.545
CDK2,NHP2,0.545
CDK2,NAGK,0.85
CDK2,XRCC2,0.56
CDK2,CYP11B2,0.85
CDK2,POLD4,0.554
CDK2,CDK9,0.1775
CDK2,CRYBB1,0.85
CDK2,HCK,0.85
CDK2,RRM1,0.551
CDK2,PIK3CA,0.85
CDK2,MT1X,0.545
CDK2,PARP1,0.557
CDK2,RELA,0.554
CDK2,CDK6,0.6385
CDK2,RAD23B,0.551
CDK2,MAP2K5,0.85
CDK2,KDR,0.551
CDK2,MDM2,0.551
CDK2,EGFR,0.557
CDK2,CETN2,0.557
CDK2,H2AC8,0.521
CDK2,MTOR,0.557
CDK2,IGHMBP2,0.557
CDK2,GRIK5,0.85
CDK2,MAPK12,0.557
CDK2,MYCN,0.56
CDK2,RBX1,0.557
CDK2,LTB4R,0.85
CDK2,SSBP1,0.536
CDK2,POLM,0.548
CDK2,MAP3K4,0.85
CDK2,RPL13A,0.545
CDK2,SESN2,0.557
CDK2,TP53,0.2
CDK2,RAD9A,0.551
CDK2,POLR2A,0.536
CDK2,CDK4,0.6355
CDK2,PPM1D,0.551
CDK2,TNFRSF10B,0.557
CDK2,ERCC1,0.557
CDK2,ERBB4,0.85
CDK2,PMS2,0.557
CDK2,CDKN1A,0.1775
CDK2,IGF1,0.557
CDK2,H4C1,0.551
HCFC2,HM13,0.3
CD34,PSMD9,0.1775
CD34,CDKN1A,0.1775
CD34,TP53,0.1775
CD34,TIMM8A,0.1775
SMAP2,XRN2,0.3
SMAP2,TRIP13,0.3
CNOT6L,MSL2,0.3
GTF2F1,KHSRP,0.2
GTF2F1,POLR2E,0.2
NTRK1,SEPTIN6,0.503
NTRK1,SNTA1,0.587
NTRK1,WNT5A,0.443
NTRK1,TPM1,0.512
NTRK1,TFAP2B,0.53
NTRK1,TJP1,0.527
NTRK1,TBCCD1,0.512
NTRK1,TAS2R14,0.506
NTRK1,PDE6H,0.44
NTRK1,ZP3,0.521
NTRK1,UTP14A,0.539
NTRK1,SRSF1,0.446
NTRK1,RPL36A,0.518
NTRK1,SLC50A1,0.53
NTRK1,SETMAR,0.506
NTRK1,SYT11,0.503
NTRK1,SEL1L,0.506
NTRK1,PLEKHM1,0.506
NTRK1,SMARCA1,0.506
NTRK1,NUDT3,0.506
NTRK1,SAT1,0.512
NTRK1,UBE3A,0.509
NTRK1,MYC,0.4
NTRK1,SV2B,0.506
NTRK1,PPP3CA,0.44
NTRK1,SNX10,0.503
NTRK1,SESTD1,0.515
NTRK1,PLOD2,0.503
NTRK1,RO60,0.527
NTRK1,PRMT8,0.44
NTRK1,RPL35,0.509
NTRK1,SP100,0.503
NTRK1,PPP3CB,0.443
NTRK1,PRKCQ,0.521
NTRK1,RPL5,0.503
NTRK1,PLCB1,0.443
NTRK1,RCAN2,0.443
NTRK1,SP110,0.515
NTRK1,PDLIM5,0.587
NTRK1,SKP1,0.506
NTRK1,OR2F1,0.503
NTRK1,UCP2,0.506
NTRK1,PYROXD1,0.503
NTRK1,SORBS1,0.503
NTRK1,ZNF473,0.515
NTRK1,PPP1R2,0.506
NTRK1,SCAF11,0.506
NTRK1,S1PR2,0.503
NTRK1,SPTB,0.506
NTRK1,RAP1A,0.503
NTRK1,RCAN1,0.44
NTRK1,TLE1,0.509
NTRK1,TNFRSF9,0.506
NTRK1,RARA,0.509
NTRK1,THAP1,0.506
NTRK1,RPL21,0.533
NTRK1,TRIM24,0.509
NTRK1,TRIP11,0.509
NTRK1,TMEFF1,0.509
NTRK1,ZNF140,0.506
NTRK1,RTP4,0.509
NTRK1,SRI,0.506
NTRK1,PGLS,0.581
NTRK1,PDE6C,0.443
NTRK1,RYK,0.44
NTRK1,PDE4DIP,0.554
NTRK1,UGT1A7,0.557
NTRK1,UBA6,0.515
RABEP2,TAOK2,0.2
COG3,COPE,0.85
COG3,RAB1B,0.6
COG3,MED28,0.85
COG3,TUBGCP3,0.85
COG3,MED23,0.85
COG3,LEO1,0.85
COG3,NACA,0.85
COG3,EIPR1,0.6
COG3,FDPS,0.85
COG3,METAP2,0.85
COG3,WDR7,0.85
COG3,PTAR1,0.6
COG3,WDR61,0.85
COG3,EIF3M,0.85
COG3,INTS5,0.85
COG3,RPA3,0.85
COG3,ZMAT5,0.85
COG3,PPP2R1A,0.85
COG3,SPAG7,0.85
COG3,SLC35A1,0.85
COG3,TRRAP,0.85
COG3,PTTG1,0.85
COG3,MAPKAP1,0.85
COG3,ARMH3,0.6
COG3,RTF1,0.85
COG3,NOL8,0.85
COG3,GNL3L,0.85
COG3,TAF2,0.85
COG3,SEC22B,0.85
COG3,NFE2L1,0.85
COG3,SCYL1,0.85
COG3,NUDC,0.85
COG3,ZNF574,0.85
COG3,RBFA,0.85
COG3,RBBP8,0.85
COG3,RAB1A,0.6
COG3,TRPM7,0.85
COG3,EXOSC9,0.85
COG3,MASTL,0.85
COG3,GOLT1B,0.85
UBAP1,ARMH3,0.6
CKAP4,RILPL1,0.2
OTULIN,MYC,0.536
OTULIN,SLC37A1,0.3
OTULIN,HYAL1,0.3
PPIC,PXDC1,0.3
PPIC,EDN1,0.3
PPIC,S100A13,0.3
PPIC,SERPINH1,0.3
PPIC,CAPN2,0.3
PPIC,SNX24,0.2
TOP1,PALB2,0.4
TOP1,TST,0.85
TOP1,BRCA2,0.4
TOP1,TP53,0.1775
TOP1,LLGL1,0.4
TOP1,RPS11,0.4
TOP1,RAD17,0.4
TOP1,FH,0.4
TOP1,WEE1,0.4
TOP1,TTN,0.4
TOP1,TPSAB1,0.85
TOP1,NF1,0.4
TOP1,MSH2,0.4
TOP1,CHEK1,0.4
TOP1,CDC6,0.4
TOP1,SPHK1,0.75
TOP1,MAP3K4,0.4
TOP1,TYMS,0.85
TOP1,ESD,0.75
TOP1,TSC1,0.85
TOP1,CDC73,0.4
MAP3K10,SLC5A5,0.85
MAP3K10,PIK3R2,0.85
MAP3K10,POMC,0.85
MAP3K10,RELA,0.85
MAP3K10,PPP1CC,0.85
MAP3K10,TPSAB1,0.85
MAP3K10,NAE1,0.575
MAP3K10,TK1,0.85
MAP3K10,NOS2,0.85
MAP3K10,MAPK12,0.85
MAP3K10,TSPO,0.85
MAP3K10,SPHK2,0.85
MAP3K10,PRKCZ,0.85
MAP3K10,PTPRZ1,0.85
CXCL1,LTBR,0.3
DDX49,U2AF2,0.3
DDX49,NAE1,0.611
DDX49,UPF1,0.2
DDX49,BRCA1,0.3
MBTPS2,PTTG1,0.85
MBTPS2,PPWD1,0.85
MBTPS2,TUBGCP3,0.85
MBTPS2,WDR7,0.85
MBTPS2,MRPS27,0.85
MBTPS2,TRMT5,0.85
MBTPS2,NACA,0.85
MBTPS2,SLC39A9,0.85
MBTPS2,PPP2R1A,0.85
MBTPS2,TTC4,0.85
MBTPS2,POLN,0.85
MBTPS2,POLR2K,0.85
MBTPS2,MED28,0.85
MBTPS2,RPL13,0.85
MBTPS2,PSMD10,0.3
MBTPS2,PSMD1,0.85
PTPRK,TPBG,0.2
E4F1,TELO2,0.2
E4F1,USP7,0.2
E4F1,PKD1,0.2
E4F1,CAPN15,0.2
E4F1,UBN1,0.2
E4F1,ZNF500,0.2
E4F1,SPSB3,0.2
E4F1,MAZ,0.2
E4F1,NAE1,0.575
E4F1,GTF3C1,0.2
E4F1,PDPK1,0.2
E4F1,TSC2,0.2
E4F1,MRPS34,0.2
E4F1,PGP,0.2
E4F1,RNPS1,0.2
POP7,SSBP1,0.2
ITPA,MRPS26,0.2
MAP2K2,MST1R,0.85
MAP2K2,TK1,0.85
MAP2K2,PIK3C2B,0.85
MAP2K2,PRODH,0.85
ECD,MYC,0.533
ECD,GLRX3,0.2
ITFG1,NAE1,0.5
ITFG1,NRAS,0.443
ITFG1,MBTPS1,0.2
TRIM52,ZFP62,0.2
ARL13A,NRAS,0.44
ARL13A,HRAS,0.44
ARL13A,KRAS,0.6
DNAJC19,BRCA1,0.3
SMCO4,NAE1,0.647
CD59,DRAP1,0.2
CD59,CTTN,0.2
CD59,FOSL1,0.2
SIAE,TPD52L2,0.3
TNK2,TP53,0.3
TNK2,CABIN1,0.3
TNK2,GTF2H3,0.3
TNK2,PTPN11,0.2
GPX1,HMGCR,0.85
GPX1,LARS2,0.85
GPX1,SLC16A5,0.85
GPX1,TYK2,0.85
GPX1,HCRT,0.85
GPX1,NAGK,0.85
GPX1,OXT,0.85
GPX1,PRSS8,0.85
GPX1,TSPO,0.85
GPX1,ENPP1,0.75
GPX1,PRKCZ,0.85
GPX1,TK1,0.85
WDHD1,TPX2,0.3
WDHD1,MCM6,0.3
PPEF2,PTEN,0.3
GTPBP2,KRAS,0.6
GTPBP2,NRAS,0.458
GTPBP2,HRAS,0.458
TEX10,POLR1B,0.3
CYP4F12,FABP4,0.85
CYP4F12,MAPK12,0.85
CYP4F12,KCNQ4,0.85
CYP4F12,HCRTR1,0.85
CYP4F12,PIK3CD,0.85
CYP4F12,FN3K,0.85
CYP4F12,TOP1,0.85
CYP4F12,MAP3K5,0.85
CYP4F12,STMN1,0.85
CYP4F12,PIK3R2,0.85
CYP4F12,SRC,0.85
CYP4F12,GCK,0.85
CYP4F12,TPSAB1,0.85
CYP4F12,HMGA1,0.85
CYP4F12,RPS6KA4,0.85
CYP4F12,MAPKAPK2,0.85
CYP4F12,KSR1,0.85
CYP4F12,GPX1,0.85
CYP4F12,MMP25,0.85
CYP4F12,PTK6,0.85
CYP4F12,PRKDC,0.85
CYP4F12,TK1,0.85
CYP4F12,MAP3K10,0.85
CYP4F12,SSTR5,0.85
NNT,NRAS,0.44
NNT,KRAS,0.6
CDKL1,KRAS,0.6
CDKL1,NRAS,0.443
CDKL1,HRAS,0.443
CCT5,ILF2,0.2
CCT5,MRPL13,0.2
CCT5,MAPRE1,0.2
CCT5,PSMD12,0.2
RGS19,TUB,0.3
RGS19,ROCK1,0.3
RGS19,BRCA1,0.3
TRPV6,BRCA1,0.3
ENPP6,PTEN,0.3
ACER3,BRCA1,0.3
ACER3,RNPEP,0.3
DNAJB1,EGR2,0.1775
DNAJB1,HSPA4,0.1775
DNAJB1,BRCA1,0.3
DNAJB1,JUN,0.1775
DNAJB1,NR1D1,0.1775
DNAJB1,PRKDC,0.1775
DNAJB1,TP53,0.3
HTN1,TAS2R8,0.3
DZIP1L,NAE1,0.575
IQCF1,NAE1,0.575
FLII,HCLS1,0.3
FLII,PLEC,0.3
EFEMP1,EXT1,0.2
EFEMP1,PHLDB2,0.2
EFEMP1,MRPS18A,0.3
EFEMP1,OSMR,0.2
CSH2,SLAMF1,0.2
CSH2,TACR1,0.2
FASTKD5,ITPA,0.2
DNAJB12,FKBP14,0.3
DNAJB12,FBXL7,0.3
DNAJB12,SEMA3C,0.3
DNAJB12,FLNC,0.3
DNAJB12,EXT1,0.3
DNAJB12,PTPN12,0.3
DNAJB12,GNA12,0.3
DNAJB12,SCRN1,0.3
GINS1,UBE2C,0.2
GINS1,TAP2,0.1775
GINS1,GINS3,0.1775
GINS1,GINS4,0.4305
GINS1,MYBL2,0.2
RIPK4,SLC28A1,0.44
RIPK4,TYMS,0.44
RIPK4,CDA,0.44
RIPK4,SLC29A2,0.44
RIPK4,SLC29A1,0.44
RIPK4,CMPK1,0.44
RIPK4,SSH3,0.3
RIPK4,RRM1,0.44
RIPK4,DCK,0.44
CLDN1,PTPRF,0.2
CLDN1,GJB3,0.2
CLDN1,ITGB4,0.2
MCM4,TUBGCP3,0.85
MAP3K7,SLC28A1,0.479
MAP3K7,HSPA4,0.3
MAP3K7,SLC30A5,0.3
MAP3K7,YAF2,0.3
MAP3K7,RRM1,0.479
MAP3K7,TYMS,0.479
MAP3K7,SLC29A2,0.479
MAP3K7,DNAJB6,0.3
MAP3K7,SLC29A1,0.479
MAP3K7,POLR3C,0.3
NADK,SLC30A8,0.3
NADK,NRAS,0.455
NADK,KRAS,0.6
APOBEC4,PVR,0.3
RARA,RET,0.509
RARA,SLC22A1,0.509
RARA,SLC22A2,0.509
TG,TP53,0.3
TG,ATM,0.3
ENPP4,KRAS,0.6
ENPP4,NRAS,0.455
ENPP4,HRAS,0.455
KBTBD2,TCEA3,0.3
PANK4,UBE2J2,0.2
EHD4,NAE1,0.611
INAVA,S100A14,0.2
INAVA,F11R,0.2
INAVA,ELF3,0.2
HOXC9,RLF,0.3
NEDD8,NRAS,0.473
NEDD8,KRAS,0.6
AMPH,NRAS,0.458
AMPH,KRAS,0.6
AMPH,HRAS,0.458
CHI3L2,TOMM34,0.3
CHI3L2,DYNLRB1,0.3
CHI3L2,RALY,0.3
CHI3L2,GSS,0.3
ABI1,MLLT10,0.2
IFNG,MYC,0.512
ATP7A,DDR1,0.509
ATP7A,CYP3A5,0.509
ATP7A,CHEK2,0.1775
ATP7A,CYP2C9,0.509
ATP7A,CYP1A2,0.509
ATP7A,PTGS1,0.509
ATP7A,CYP3A7,0.509
ATP7A,PDGFRB,0.509
ATP7A,BCR,0.509
ATP7A,CYP2D6,0.509
ATP7A,KIT,0.509
ATP7A,ORM1,0.509
ATP7A,PDGFRA,0.509
ATP7A,KAT8,0.1775
ATP7A,SLC22A1,0.509
ATP7A,SLC22A2,0.509
ATP7A,NTRK1,0.509
ATP7A,RET,0.509
ATP7A,CSF1R,0.509
ATP7A,CYP3A4,0.509
ATP7A,CYP2C19,0.509
